location,size,total_sqft,bath,price,bhk,price_per_sqft
"Block H, Bashundhara R-A, Dhaka",2 BHK,1056.0,2.0,39.07,2,3699.810606060606
"Farmgate, Tejgaon, Dhaka",4 Bedroom,2600.0,5.0,120.0,4,4615.384615384615
"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",3 BHK,1440.0,2.0,62.0,3,4305.555555555556
"Gulshan 1, Gulshan, Dhaka",3 BHK,1521.0,3.0,95.0,3,6245.890861275477
"Baridhara, Dhaka",2 BHK,1200.0,2.0,51.0,2,4250.0
"Bashundhara R-A, Dhaka",2 BHK,1170.0,2.0,38.0,2,3247.863247863248
"Baridhara, Dhaka",4 BHK,2732.0,4.0,204.0,4,7467.0571010248905
"PC Culture Housing, Mohammadpur, Dhaka",4 BHK,3300.0,4.0,600.0,4,18181.81818181818
"Jigatola, Hazaribag, Dhaka",3 BHK,1310.0,3.0,63.25,3,4828.244274809161
"West Kazipara, Mirpur, Dhaka",6 Bedroom,1020.0,6.0,370.0,6,36274.509803921566
"Block D, Bashundhara R-A, Dhaka",3 BHK,1800.0,2.0,70.0,3,3888.8888888888887
"Block J, Bashundhara R-A, Dhaka",4 Bedroom,2785.0,5.0,295.0,4,10592.45960502693
"Block D, Bashundhara R-A, Dhaka",2 BHK,1000.0,2.0,38.0,2,3800.0
"Nikunja 2, Nikunja, Dhaka",2 BHK,1100.0,2.0,40.0,2,3636.3636363636365
"Sector 6, Uttara, Dhaka",3 Bedroom,2250.0,3.0,148.0,3,6577.777777777777
"Block D, Bashundhara R-A, Dhaka",2 BHK,1175.0,2.0,73.5,2,6255.31914893617
"Khilgaon, Dhaka",3 BHK,1180.0,3.0,48.0,3,4067.7966101694915
"Block K, Baridhara, Dhaka",3 BHK,1540.0,3.0,60.0,3,3896.103896103896
"Ibrahimpur, Dhaka",3 BHK,2770.0,4.0,290.0,3,10469.314079422382
"Ibrahimpur, Dhaka",2 BHK,1100.0,2.0,48.0,2,4363.636363636364
"Sector 5, Uttara, Dhaka",1 BHK,600.0,1.0,15.0,1,2500.0
"PC Culture Housing, Mohammadpur, Dhaka",3 BHK,1755.0,3.0,122.0,3,6951.5669515669515
"Block D, Bashundhara R-A, Dhaka",4 Bedroom,2800.0,5.0,380.0,4,13571.42857142857
"Nurer Chala, Badda, Dhaka",3 BHK,1767.0,3.0,103.0,3,5829.088851160159
"Block F, Bashundhara R-A, Dhaka",1 RK,510.0,1.0,25.25,1,4950.980392156863
"Sector 4, Uttara, Dhaka",3 BHK,1250.0,3.0,56.0,3,4480.0
"Block D, Bashundhara R-A, Dhaka",2 BHK,660.0,1.0,23.1,2,3500.0
"Block D, Bashundhara R-A, Dhaka",3 BHK,1610.0,3.0,81.0,3,5031.055900621118
"Block D, Bashundhara R-A, Dhaka",2 BHK,1151.0,2.0,48.77,2,4237.185056472633
"Rajabazar, Tejgaon, Dhaka",3 BHK,1025.0,2.0,47.0,3,4585.365853658536
"Baridhara, Dhaka",4 BHK,2475.0,4.0,186.0,4,7515.151515151515
"Khilgaon, Dhaka",3 BHK,1075.0,2.0,35.0,3,3255.813953488372
"Sector 9, Uttara, Dhaka",3 BHK,1760.0,2.0,123.0,3,6988.636363636364
"Gulshan 1, Gulshan, Dhaka",3 BHK,1693.0,3.0,57.39,3,3389.84051978736
"Sector 9, Uttara, Dhaka",3 BHK,1925.0,3.0,125.0,3,6493.506493506494
"Sector 14, Uttara, Dhaka",2 BHK,700.0,2.0,36.0,2,5142.857142857143
"Block D, Section 12, Mirpur, Dhaka",2 BHK,1070.0,2.0,45.5,2,4252.336448598131
"Block G, Bashundhara R-A, Dhaka",3 BHK,1724.0,3.0,125.0,3,7250.580046403712
"Baitul Aman Housing Society, Adabor, Dhaka",3 BHK,1290.0,2.0,56.12,3,4350.387596899225
"Kajla, Jatra Bari, Dhaka",2 BHK,1143.0,2.0,45.0,2,3937.0078740157483
"Sector 11, Uttara, Dhaka",2 BHK,1296.0,2.0,81.0,2,6250.0
"Sector 7, Uttara, Dhaka",3 BHK,1254.0,3.0,38.0,3,3030.3030303030305
"Gulshan 2, Gulshan, Dhaka",1 BHK,600.0,1.0,38.0,1,6333.333333333333
"Sector 10, Uttara, Dhaka",1 Bedroom,660.0,1.0,48.0,1,7272.727272727273
"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",2 BHK,1330.74,2.0,91.79,2,6897.665960292769
"Block D, Bashundhara R-A, Dhaka",8 Bedroom,600.0,9.0,200.0,8,33333.333333333336
"West Malibag, Malibagh, Dhaka",2 BHK,970.0,2.0,33.0,2,3402.061855670103
"Banani, Dhaka",2 BHK,1459.0,2.0,94.82,2,6498.971898560658
"Sector 10, Uttara, Dhaka",2 Bedroom,800.0,1.0,130.0,2,16250.0
"Block A, Bashundhara R-A, Dhaka",2 BHK,869.0,2.0,36.0,2,4142.692750287687
"Banani, Dhaka",2 BHK,1270.0,2.0,50.0,2,3937.0078740157483
"Gulshan 2, Gulshan, Dhaka",3 BHK,1670.0,3.0,99.0,3,5928.143712574851
"Gulshan 2, Gulshan, Dhaka",3 BHK,2010.0,3.0,91.0,3,4527.363184079602
"Kakrail, Dhaka",2 BHK,1185.0,2.0,75.0,2,6329.113924050633
"Block G, Bashundhara R-A, Dhaka",3 BHK,1600.0,2.0,75.0,3,4687.5
"Block I, Bashundhara R-A, Dhaka",2 BHK,1200.0,2.0,44.0,2,3666.6666666666665
"Malibagh, Dhaka",2 BHK,1500.0,2.0,185.0,2,12333.333333333334
"Block J, Bashundhara R-A, Dhaka",6 Bedroom,1407.0,4.0,150.0,6,10660.980810234541
"West Dhanmondi and Shangkar, Dhanmondi, Dhaka",2 BHK,840.0,2.0,45.0,2,5357.142857142857
"Block F, Bashundhara R-A, Dhaka",3 Bedroom,4395.0,3.0,240.0,3,5460.750853242321
"Block F, Bashundhara R-A, Dhaka",2 BHK,845.0,2.0,55.0,2,6508.87573964497
"Sector 5, Uttara, Dhaka",4 Bedroom,5700.0,5.0,650.0,4,11403.508771929824
"Block J, Bashundhara R-A, Dhaka",2 BHK,1160.0,2.0,44.0,2,3793.103448275862
"Sector 10, Uttara, Dhaka",8 Bedroom,3000.0,8.0,140.0,8,4666.666666666667
"Block J, Bashundhara R-A, Dhaka",2 BHK,1100.0,2.0,62.0,2,5636.363636363636
"Gulshan 1, Gulshan, Dhaka",2 BHK,1140.0,2.0,43.0,2,3771.9298245614036
"Block D, Bashundhara R-A, Dhaka",2 BHK,1220.0,2.0,57.0,2,4672.131147540984
"Maghbazar, Dhaka",8 Bedroom,1350.0,7.0,85.0,8,6296.2962962962965
"Block I Extension, Bashundhara R-A, Dhaka",2 BHK,1005.0,2.0,36.68,2,3649.7512437810947
"West Kalachandpur, Kalachandpur, Dhaka",3 Bedroom,500.0,3.0,100.0,3,20000.0
"Block D, Bashundhara R-A, Dhaka",2 BHK,1358.0,2.0,80.58,2,5933.726067746687
"Sector 3, Uttara, Dhaka",3 BHK,1569.0,3.0,101.0,3,6437.221159974506
"Badda, Dhaka",2 BHK,1240.0,2.0,70.0,2,5645.1612903225805
"Mohammadpur, Dhaka",3 BHK,2089.0,3.0,140.0,3,6701.771182383915
"Block K, Bashundhara R-A, Dhaka",2 BHK,1206.0,2.0,48.23,2,3999.1708126036483
"East Badda, Badda, Dhaka",2 BHK,1150.0,2.0,40.0,2,3478.2608695652175
"Block D, Bashundhara R-A, Dhaka",3 BHK,2511.0,3.0,205.0,3,8164.078056551175
"Dhanmondi, Dhaka",2 BHK,460.0,1.0,22.0,2,4782.608695652174
"Kamal Sarani, South Pirerbag, Pirerbag, Mirpur, Dhaka",6 Bedroom,4400.0,6.0,250.0,6,5681.818181818182
"Block A, Niketan, Dhaka",3 BHK,1660.0,2.0,105.0,3,6325.301204819277
"Banani, Dhaka",2 BHK,1326.0,2.0,78.0,2,5882.35294117647
"Banani, Dhaka",3 BHK,1325.0,2.0,60.8,3,4588.679245283019
"East Goran, Goran, Khilgaon, Dhaka",3 BHK,1499.0,5.0,102.0,3,6804.536357571715
"Block H, Bashundhara R-A, Dhaka",6 Bedroom,3000.0,7.0,210.0,6,7000.0
"Block C, Section 13, Mirpur, Dhaka",3 BHK,1665.0,3.0,88.0,3,5285.285285285286
"Block I, Bashundhara R-A, Dhaka",2 BHK,708.0,2.0,37.0,2,5225.988700564972
"Block B, Bashundhara R-A, Dhaka",2 BHK,1060.0,2.0,58.06,2,5477.358490566037
"Block G, Bashundhara R-A, Dhaka",6 Bedroom,710.0,6.0,160.0,6,22535.211267605635
"Gulshan 1, Gulshan, Dhaka",2 BHK,1000.0,2.0,70.0,2,7000.0
"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",2 BHK,1000.0,2.0,28.88,2,2888.0
"Block G, Bashundhara R-A, Dhaka",3 BHK,1450.0,2.0,70.0,3,4827.586206896552
"Sector 5, Uttara, Dhaka",4 Bedroom,1200.0,4.0,155.0,4,12916.666666666666
"Block D, Bashundhara R-A, Dhaka",2 BHK,1296.0,2.0,80.0,2,6172.83950617284
"Block G, Bashundhara R-A, Dhaka",3 BHK,1540.0,3.0,90.0,3,5844.1558441558445
"Block A, Bashundhara R-A, Dhaka",4 Bedroom,2894.0,4.0,245.0,4,8465.791292328957
"New Eskaton, Eskaton, Dhaka",3 BHK,1330.0,2.0,48.0,3,3609.0225563909776
"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,1200.0,2.0,65.0,2,5416.666666666667
"Mirpur, Dhaka",3 Bedroom,1200.0,3.0,90.0,3,7500.0
"Banani, Dhaka",3 BHK,2502.0,3.0,138.0,3,5515.587529976019
"Block C, Bashundhara R-A, Dhaka",2 BHK,650.0,1.0,17.0,2,2615.3846153846152
"Dhanmondi, Dhaka",3 Bedroom,2400.0,2.0,150.0,3,6250.0
"Block H, Banasree, Dhaka",2 BHK,1007.0,2.0,43.0,2,4270.109235352532
"Block B, Bashundhara R-A, Dhaka",2 BHK,1200.0,2.0,50.0,2,4166.666666666667
"Baridhara, Dhaka",2 BHK,966.0,2.0,49.9,2,5165.631469979296
"Block I, Bashundhara R-A, Dhaka",3 BHK,1630.0,2.0,98.0,3,6012.269938650306
"Mohammadpur, Dhaka",3 BHK,1640.0,3.0,229.0,3,13963.414634146342
"Mohammadpur, Dhaka",2 BHK,782.0,2.0,55.68,2,7120.204603580562
"Middle Monipur, Mirpur, Dhaka",2 BHK,1260.0,2.0,66.78,2,5300.0
"Block G, Bashundhara R-A, Dhaka",3 BHK,1800.0,3.0,120.0,3,6666.666666666667
"Block D, Bashundhara R-A, Dhaka",3 BHK,1413.0,2.0,75.0,3,5307.855626326964
"Block K, Baridhara, Dhaka",2 BHK,1116.0,2.0,51.91,2,4651.433691756272
"Block B, Niketan, Dhaka",3 BHK,1530.0,2.0,45.9,3,3000.0
"Gulshan 2, Gulshan, Dhaka",4 Bedroom,3700.0,4.0,225.0,4,6081.081081081081
"Block F, Bashundhara R-A, Dhaka",3 Bedroom,2497.0,3.0,140.0,3,5606.728073688426
"Gulshan 1, Gulshan, Dhaka",3 BHK,1540.0,2.0,64.0,3,4155.8441558441555
"Gulshan 1, Gulshan, Dhaka",3 BHK,1436.0,3.0,74.75,3,5205.431754874652
"Block K, Baridhara, Dhaka",2 BHK,1100.0,2.0,75.0,2,6818.181818181818
"Monipuripara, Tejgaon, Dhaka",2 Bedroom,276.0,3.0,23.0,2,8333.333333333334
"East Goran, Goran, Khilgaon, Dhaka",3 BHK,1427.0,3.0,120.0,3,8409.250175192712
"Block H, Banasree, Dhaka",3 BHK,2061.0,3.0,200.0,3,9704.02717127608
"Gulshan 1, Gulshan, Dhaka",4 BHK,5611.5,4.0,477.0,4,8500.400962309543
"Sector 10, Uttara, Dhaka",4 BHK,2650.0,4.0,150.0,4,5660.377358490566
"Block D, Bashundhara R-A, Dhaka",3 BHK,1282.0,2.0,68.52,3,5344.773790951638
"Block D, Bashundhara R-A, Dhaka",2 BHK,1050.0,2.0,34.0,2,3238.095238095238
"Niketan, Dhaka",3 BHK,1600.0,3.0,65.0,3,4062.5
"Banani, Dhaka",2 BHK,945.0,2.0,54.0,2,5714.285714285715
"PC Culture Housing, Mohammadpur, Dhaka",2 BHK,1500.0,2.0,78.0,2,5200.0
"Gulshan 2, Gulshan, Dhaka",7 Bedroom,950.0,7.0,115.0,7,12105.263157894737
"Dhanmondi, Dhaka",3 BHK,1870.0,3.0,110.0,3,5882.35294117647
"Block D, Bashundhara R-A, Dhaka",3 Bedroom,1600.0,3.0,75.0,3,4687.5
"Sector 11, Uttara, Dhaka",2 BHK,880.0,1.0,16.5,2,1875.0
"Shantibag, Malibagh, Dhaka",4 Bedroom,1200.0,4.0,210.0,4,17500.0
"Rajabazar, Tejgaon, Dhaka",3 BHK,1535.0,3.0,83.0,3,5407.166123778502
"Kajla, Jatra Bari, Dhaka",2 BHK,950.0,2.0,57.0,2,6000.0
"Sector 7, Uttara, Dhaka",2 BHK,1360.0,2.0,65.0,2,4779.411764705882
"Block F, aziz Moholla, Mohammadpur, Dhaka",2 BHK,1073.5,2.0,54.005,2,5030.740568234746
"Kajla, Jatra Bari, Dhaka",3 BHK,1280.0,3.0,50.4,3,3937.5
"East Bashabo, Bashabo, Dhaka",3 BHK,1260.0,2.0,85.05,3,6750.0
"Block A, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",8 Bedroom,5000.0,8.0,250.0,8,5000.0
"Baridhara DOHS, Dhaka",5 BHK,3050.0,5.0,213.0,5,6983.606557377049
"Sector 13, Uttara, Dhaka",3 BHK,1563.05,3.0,105.0,3,6717.635392341896
"Mohammadi Housing LTD., Mohammadpur, Dhaka",2 BHK,1000.0,2.0,60.0,2,6000.0
"Gulshan 1, Gulshan, Dhaka",2 BHK,1167.0,2.0,43.76,2,3749.7857754927163
"Block D, Bashundhara R-A, Dhaka",7 BHK,4000.0,7.0,225.0,7,5625.0
"Tejgaon, Dhaka",3 BHK,1828.0,3.0,110.0,3,6017.505470459519
"West Kalachandpur, Kalachandpur, Dhaka",2 BHK,890.0,2.0,35.0,2,3932.5842696629215
"Sector 12, Uttara, Dhaka",3 BHK,1612.0,3.0,46.74,3,2899.5037220843674
"Sector 3, Uttara, Dhaka",6 Bedroom,1034.0,5.0,185.0,6,17891.682785299807
"East Goran, Goran, Khilgaon, Dhaka",3 BHK,1710.0,4.0,91.31,3,5339.766081871345
"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",2 BHK,957.0,2.0,58.0,2,6060.606060606061
"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",3 BHK,1250.0,2.0,44.0,3,3520.0
"Block A, Chandrima Model Town, Mohammadpur, Dhaka",3 BHK,2795.0,4.0,235.0,3,8407.871198568873
"Baridhara, Dhaka",2 BHK,1125.0,2.0,50.0,2,4444.444444444444
"Baridhara, Dhaka",2 BHK,1020.0,2.0,30.6,2,3000.0
"Sector 13, Uttara, Dhaka",2 BHK,1200.0,2.0,50.0,2,4166.666666666667
"Block D, Bashundhara R-A, Dhaka",3 BHK,1735.0,3.0,135.0,3,7780.979827089337
"Block D, Bashundhara R-A, Dhaka",3 BHK,2050.0,3.0,145.0,3,7073.170731707317
"Block A, Section 11, Mirpur, Dhaka",4 Bedroom,3750.0,4.0,760.0,4,20266.666666666668
"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",3 BHK,1350.0,2.0,48.0,3,3555.5555555555557
"Sector 4, Uttara, Dhaka",2 BHK,1063.0,2.0,32.0,2,3010.348071495767
"Block G, Bashundhara R-A, Dhaka",3 BHK,1904.0,3.0,150.0,3,7878.151260504202
"Tejgaon, Dhaka",4 Bedroom,4200.0,4.0,420.0,4,10000.0
"Sector 5, Uttara, Dhaka",3 BHK,2000.0,3.0,175.0,3,8750.0
"Nikunja 2, Nikunja, Dhaka",2 BHK,1242.5,2.0,43.49,2,3500.201207243461
"Dhanmondi, Dhaka",3 BHK,1425.0,2.0,75.0,3,5263.1578947368425
"Block A, Banasree, Dhaka",3 BHK,1500.0,2.0,64.5,3,4300.0
"Baridhara DOHS, Dhaka",2 BHK,1060.0,2.0,60.0,2,5660.377358490566
"Sector 13, Uttara, Dhaka",3 BHK,1470.0,2.0,70.0,3,4761.9047619047615
"Sector 12, Uttara, Dhaka",6 BHK,1300.0,6.0,99.0,6,7615.384615384615
"Sector 13, Uttara, Dhaka",1 BHK,450.0,1.0,11.0,1,2444.4444444444443
"Block B, Bashundhara R-A, Dhaka",2 BHK,1152.0,2.0,64.5,2,5598.958333333333
"Gulshan 2, Gulshan, Dhaka",3 BHK,1350.0,2.0,56.0,3,4148.148148148148
"Gulshan 2, Gulshan, Dhaka",3 BHK,1550.0,3.0,65.0,3,4193.548387096775
"Block D, Bashundhara R-A, Dhaka",3 Bedroom,1500.0,3.0,100.0,3,6666.666666666667
"Gulshan 1, Gulshan, Dhaka",5 Bedroom,600.0,3.0,85.0,5,14166.666666666666
"Block J, Bashundhara R-A, Dhaka",1 Bedroom,400.0,1.0,14.0,1,3500.0
"Block C, Aftab Nagar, Dhaka",1 BHK,705.0,1.0,67.0,1,9503.54609929078
"Block D, Section 2, Mirpur, Dhaka",2 BHK,770.0,1.0,36.0,2,4675.324675324675
"Block D, Bashundhara R-A, Dhaka",2 BHK,1242.0,2.0,51.0,2,4106.280193236715
"Gulshan 2, Gulshan, Dhaka",3 BHK,1700.0,3.0,155.0,3,9117.64705882353
"West Shewrapara, Mirpur, Dhaka",3 BHK,2144.0,3.0,145.0,3,6763.059701492537
"Block A, Section 11, Mirpur, Dhaka",3 BHK,1704.0,3.0,110.0,3,6455.399061032864
"Dhanmondi, Dhaka",2 BHK,1070.0,2.0,52.0,2,4859.813084112149
"Banani, Dhaka",3 Bedroom,1846.0,3.0,300.0,3,16251.354279523293
"Nayatola, Maghbazar, Dhaka",2 BHK,1340.0,2.0,55.7,2,4156.7164179104475
"Block A, Section 11, Mirpur, Dhaka",2 BHK,1025.0,2.0,46.0,2,4487.804878048781
"Block D, Bashundhara R-A, Dhaka",2 BHK,1277.5,2.0,56.8,2,4446.183953033268
