area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,"Block H, Bashundhara R-A, Dhaka",2 BHK,N/A,1056,2,1,39.07
Plot  Area,Ready To Move,"Farmgate, Tejgaon, Dhaka",4 Bedroom,N/A,2600,5,3,120
Built-up  Area,Ready To Move,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",3 BHK,N/A,1440,2,3,62
Super built-up  Area,Ready To Move,"Gulshan 1, Gulshan, Dhaka",3 BHK,N/A,1521,3,1,95
Super built-up  Area,Ready To Move,"Baridhara, Dhaka",2 BHK,N/A,1200,2,1,51
Super built-up  Area,Ready To Move,"Bashundhara R-A, Dhaka",2 BHK,N/A,1170,2,1,38
Super built-up  Area,18-May,"Baridhara, Dhaka",4 BHK,N/A,2732,4,,204
Super built-up  Area,Ready To Move,"PC Culture Housing, Mohammadpur, Dhaka",4 BHK,N/A,3300,4,,600
Super built-up  Area,Ready To Move,"Jigatola, Hazaribag, Dhaka",3 BHK,N/A,1310,3,1,63.25
Plot  Area,Ready To Move,"West Kazipara, Mirpur, Dhaka",6 Bedroom,N/A,1020,6,,370
Super built-up  Area,18-Feb,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1800,2,2,70
Plot  Area,Ready To Move,"Block J, Bashundhara R-A, Dhaka",4 Bedroom,N/A,2785,5,3,295
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1000,2,1,38
Built-up  Area,Ready To Move,"Nikunja 2, Nikunja, Dhaka",2 BHK,N/A,1100,2,2,40
Plot  Area,Ready To Move,"Sector 6, Uttara, Dhaka",3 Bedroom,N/A,2250,3,2,148
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1175,2,2,73.5
Super built-up  Area,Ready To Move,"Khilgaon, Dhaka",3 BHK,N/A,1180,3,2,48
Super built-up  Area,Ready To Move,"Block K, Baridhara, Dhaka",3 BHK,N/A,1540,3,3,60
Super built-up  Area,Ready To Move,"Ibrahimpur, Dhaka",3 BHK,N/A,2770,4,2,290
Super built-up  Area,Ready To Move,"Ibrahimpur, Dhaka",2 BHK,N/A,1100,2,2,48
Built-up  Area,Ready To Move,"Sector 5, Uttara, Dhaka",1 BHK,N/A,600,1,1,15
Super built-up  Area,19-Dec,"PC Culture Housing, Mohammadpur, Dhaka",3 BHK,N/A,1755,3,1,122
Plot  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",4 Bedroom,N/A,2800,5,2,380
Super built-up  Area,Ready To Move,"Nurer Chala, Badda, Dhaka",3 BHK,N/A,1767,3,1,103
Super built-up  Area,18-Nov,"Block F, Bashundhara R-A, Dhaka",1 RK,N/A,510,1,0,25.25
Super built-up  Area,18-May,"Sector 4, Uttara, Dhaka",3 BHK,N/A,1250,3,2,56
Super built-up  Area,Ready To Move,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,660,1,1,23.1
Built-up  Area,20-Dec,"Block D, Bashundhara R-A, Dhaka",3 BHK,N/A,1610,3,2,81
Super built-up  Area,17-Oct,"Block D, Bashundhara R-A, Dhaka",2 BHK,N/A,1151,2,2,48.77
Super built-up  Area,Ready To Move,"Rajabazar, Tejgaon, Dhaka",3 BHK,N/A,1025,2,1,47
Super built-up  Area,19-Dec,"Baridhara, Dhaka",4 BHK,N/A,2100 - 2850,4,0,186
Super built-up  Area,Ready To Move,"Khilgaon, Dhaka",3 BHK,N/A,1075,2,1,35
Super built-up  Area,Ready To Move,"Sector 9, Uttara, Dhaka",3 BHK,N/A,1760,2,2,123
